dataset,sample_id,source_id,job_title_raw,issue_type,severity,classification,recommended_action,evidence
Gold,ANN-0023,CC148739350J40212149403,单片机工程师,requirements_EMPTY,P2,GOLD_SOURCE_EVIDENCE_LEGACY_BOUNDARY,KEEP_GOLD,"KEEP_GOLD / SOURCE_EVIDENCE_NOTE_ONLY：Gold继承占位requirements字段为空，但其Zhilian父candidate.requirements已非空；Gold六字段人工标注已确认GOLD_CORRECT，不阻塞 | resp_len=226 | req_len=0 | detail_len=226 | detail_has_REQ_keyword=False | detail_has_RESP_keyword=False | resp_contains_REQ_like_keywords_n=10:学历,经验,专业,以上,熟悉 | resp_contains_DUTY_verbs_n=4:设计,开发,维护,design | resp_req_swapped_suspect=True | parent_req_len=112，前60字：1、本科以上学历，电子工程、自动化、测控技术与仪器等电子相关专业；
2、具有3年以上硬件产品开发工作经验，精通模拟电路和"
Zhilian,,CC000544460J40791295516,测试（浦发银行项目）,resp_req_high_overlap_sim0.90,P3,F:SOURCE_FORMAT_NATURAL,REVIEW,未匹配A-E，原始issue=resp_req_high_overlap_sim0.90
Gold,ANN-0023,CC148739350J40212149403,单片机工程师,detail_pure_duplicate_of_resp,P2,A:DETAIL_EQUALS_RESP,REVIEW,detail_raw_text基本等于responsibilities，sim=1.00；是否需要切分后补requirements需人工确认
Official,,7616657487282604341,后端开发工程师（企业服务系统）-集团信息系统,detail_shorter_than_resp_req_both_len(371vs648),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(371)<resp+req(648)，官网截断常见；非错误
Official,,7437072515455338760,C++客户端工程师-豆包,detail_shorter_than_resp_req_both_len(339vs625),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(339)<resp+req(625)，官网截断常见；非错误
Official,,7387022251432053001,后端研发工程师（大模型）-火山引擎,detail_shorter_than_resp_req_both_len(447vs744),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(447)<resp+req(744)，官网截断常见；非错误
Official,,7547297302650554631,大模型算法研究员-Data AML,detail_shorter_than_resp_req_both_len(523vs876),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(523)<resp+req(876)，官网截断常见；非错误
Official,,7317876192189761801,NLP算法工程师-抖音对话机器人,detail_shorter_than_resp_req_both_len(504vs788),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(504)<resp+req(788)，官网截断常见；非错误
Official,,7581491171309177093,豆包大模型算法工程师-火山方舟,detail_shorter_than_resp_req_both_len(708vs1062),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(708)<resp+req(1062)，官网截断常见；非错误
Official,,7312024410460801290,高级前端开发工程师（大模型方向）-Data AML,detail_shorter_than_resp_req_both_len(419vs711),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(419)<resp+req(711)，官网截断常见；非错误
Official,,6993206150566480141,大数据研发高级工程师/专家-AI应用与创新,detail_shorter_than_resp_req_both_len(730vs1012),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(730)<resp+req(1012)，官网截断常见；非错误
Official,,2041847334320631808,元宝数据平台-后台开发工程师,detail_shorter_than_resp_req_both_len(473vs1221),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(473)<resp+req(1221)，官网截断常见；非错误
Official,,2080544639538081792,AI大模型架构师,detail_shorter_than_resp_req_both_len(893vs3249),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(893)<resp+req(3249)，官网截断常见；非错误
Official,,2088194595539304448,风控算法工程师,detail_shorter_than_resp_req_both_len(541vs778),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(541)<resp+req(778)，官网截断常见；非错误
Official,,1904008033529323520,微信小店-测试开发工程师,detail_shorter_than_resp_req_both_len(514vs2353),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(514)<resp+req(2353)，官网截断常见；非错误
Official,,2059948187954888704,微信基础-大数据工程师-AI方向,detail_shorter_than_resp_req_both_len(810vs2537),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(810)<resp+req(2537)，官网截断常见；非错误
Official,,2077641015354896384,边缘基础设施运维工程师,detail_shorter_than_resp_req_both_len(1795vs3594),P3,F:SOURCE_FORMAT_NATURAL,KEEP,官网detail长度(1795)<resp+req(3594)，官网截断常见；非错误
Official,,7663333383728597301,大模型技术服务专家 - 火山引擎,future_publish_time,P3,SOURCE_REPORTED_FUTURE_TIME,KEEP_WITH_WARNING,publish_time=2026-11-15T00:00:00.000Z；crawl_time=2026-08-26T14:05:00.000Z；官方官网报告日期在未来，保留原值不修改
Official,,7660694249809692981,Infra开发工程师-全球流量基础设施,future_publish_time,P3,SOURCE_REPORTED_FUTURE_TIME,KEEP_WITH_WARNING,publish_time=2026-11-08T00:00:00.000Z；crawl_time=2026-08-26T14:06:00.000Z；官方官网报告日期在未来，保留原值不修改
