"sample_id","source","source_id","source_url","job_title_raw","company","location","detail_raw_text","current_gold_title","review_gold_title","current_gold_skills","review_gold_skills","current_gold_bonus_skills","review_gold_bonus_skills","current_gold_experience","review_gold_experience","current_gold_education","review_gold_education","current_gold_core_duties","review_gold_core_duties","review_status","error_type","review_note"
"jd_012","zhilian","CCL1480117890J40845576605","http://www.zhaopin.com/jobdetail/CCL1480117890J40845576605.htm?refcode=4019&srccode=401903&preactionid=831c9c60-741f-405b-952a-10f8e817b155","全栈工程师（java，go，python，js，re）","外企德科数字技术有限公司","北京·朝阳","岗位职责：
负责公司内部各系统开发，负责公司信息系统建设；
通过构建领先的信息系统，助力公司业务和组织的长期高效经营与发展；
在安全、隐私、合规层面持续治理，为公司的稳健发展保驾护航；覆盖人事、财务、法务、采购、审批、职场等多个领域的系统开发

任职要求：
1、统招本科学历以上，2年以上相关工作经验，计算机相关专业优先；985/211学历优先；
2、具备良好的计算机、软件工程等专业领域基础知识；
3、至少精通Java、python、golang中的一种；
4、有完整的项目开发经验，具备大型项目经验，erp经验等优先；
5、工作思路清晰，有较好的沟通能力和技术学习能力，拥有良好的编码习惯，有很强的自学能力和自我提高的愿望；","全栈工程师","","[""JavaScript"",""React"",""Java"",""GoLang"",""Python""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责前后端全栈开发"",""参与产品全生命周期技术支持""]","","","",""
"jd_030","zhilian","CC138117190J40879068905","http://www.zhaopin.com/jobdetail/CC138117190J40879068905.htm?refcode=4019&srccode=401903&preactionid=721a0763-20d6-421e-ac3f-17c75a8edee2","大模型评测工程师（音视频/AIGC/多模态）","外企德科","北京·海淀·上地","职位描述
负责音视频生成大模型及相关方向算法、视频可控类编辑/参考的项目交付质量，包括设计准备完善数据集、标注质量质检、质量验收以及量化的分析评测报告输出；
1. 对音视频质量评估：对生成的音视频进行主观质量评估。包括视频能力（画质、美学、合理性、叙事、清晰度）、音频（自然度、音质、与视频内容的匹配度等），给出专业的主观评价意见；
2. 评测方案设计与执行：从专业的角度，参与制定并执行评测方案，及测试集的设计。负责对标注团队进行培训，把控标注质量和评测结论的准确性。
3. 评测数据整理与分析：对评测过程中产生的数据进行整理和分析，及时发现音频生成中存在的问题，形成评测报告，为项目团队提供有价值的专业参考信息和针对性的改进建议，协助优化模型效果。
4. 跟进行业主流竞品多模态生成/理解模型及行业能力变化，有敏锐的用户视角参与竞品调研、线上效果分析、算法效果分析、问题挖掘归因和行业评测探索，为模型迭代和项目决策提供参考。竞品包括但不限于seeddance、vidu、gemini-omni-flash、veo、hailuo、万相、runway等）

任职要求
1、本科及以上学历，数字媒体艺术、美术、设计、动画、影视编导、导演、摄影、技术美术；或技术方向计算机、人工智能、数据分析等相关专业优先
2、具备较好的审美判断力和视听语言理解能力，对音视频内容质量有较强判断力，熟悉视频画质、美学构图、镜头语言、叙事逻辑、运动合理性、音质、音色、节奏、音画匹配等评价维度。
3、对 AIGC 创作有实际经验，熟悉从创意构思、Prompt 设计、素材准备、模型生成、结果筛选、后期调整到成片交付的完整流程；有影视拍片项目经历、影视行业制作经验或全流程 AIGC 创作经验者优先。
4、深度使用过业界主流文生图、文生视频、多模态大模型或音频生成工具者优先，如即梦、Seedance、海螺、Nano Banana 等；有竞品评测经验，能够清晰分析不同模型的效果水位、优势短板和适用场景者优先。
5、有 AI 算法测试、数据标注、评测体系建设或标注 POC 经验者优先；对大模型、AIGC、多模态生成、视频生成等方向有较深入理解者优先。仅有纯执行型标注经验、缺少评测分析和标准建设能力者不优先。
6、具备较强的主观判断能力和结构化分析能力，能够将主观视听感受拆解并量化为客观评价标准，逻辑清晰、思维敏捷，善于分析总结，并能清楚表达自己的观点、判断依据和问题归因。
7、具备良好的数据敏感度、文档能力和跨团队沟通能力，能够输出评测方案、标注规范、质检报告、评测报告等材料，并与算法、产品、运营、标注团队高效协同。
8、具备优秀的快速学习能力、抗压能力和项目推进意识，能够适应多轮模型迭代、批量样本评测、紧急交付和复杂问题排查。
10、有代码编写经验优先，熟悉 Python、SQL、数据处理、自动化评测脚本、可视化分析，或具备基于 AI 工具提升数据处理和评测效率的能力者优先。","大模型评测工程师","","[""音频标注"",""视频标注"",""大模型评测"",""AIGC"",""多模态模型"",""音视频模型""]","","[]","","{""min_years"":0,""max_years"":null}","","大专","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"public_001","zhilian","CC246691810J40831043903","https://www.zhaopin.com/jobdetail/CC246691810J40831043903.htm","python开发工程师","北京博华信智科技股份有限公司","北京 朝阳区","岗位职责:
1.设计和开发基于Odoo的应用程序，以满足企业和组织的需求。
2.参与Odoo平台的定制开发，包括但不限于模块开发和系统集成。
3.优化现有Odoo应用的性能，提升用户体验。
4.与客户沟通，了解需求并提供专业的解决方案。
5.维护和支持Odoo开发项目，确保项目按时交付并符合质量标准。

任职要求：
1.具备扎实的Python开发能力，熟悉Odoo平台的开发环境。
2.具有良好的分析和问题解决能力，能够独立处理和优化代码。
3.良好的团队合作精神和沟通能力，能够与团队成员有效沟通。
4.对新技术有持续学习的意愿，能够快速掌握和应用新知识。
5.有责任心，能够在压力下保持高效的工作状态。","","","","","","","","","","","","","","",""
"public_002","zhilian","CC000283190J40710167711","https://www.zhaopin.com/jobdetail/CC000283190J40710167711.htm","测试工程师(J12078)","江铃汽车股份有限公司","南昌 南昌县","岗位职责:
1、响应和支持项目中产生的各类测试需求，独立制定测试策略，规划测试周期，完成测试项目；
2、搭建自动化测试体系，对接口，APP，UI进行持续测试；
3、在功能测试过程中，对产品需求提出改善和优化意见，提升产品体验；
4、参与软件测试技术规范的改进和制定, 提升研发质量和测试效率。

任职要求:
1、本科及以上学历，计算机、软件等相关专业；
2、测试理论知识扎实，能够灵活运用各类策略和方法，保证测试覆盖；
3、熟悉软件开发、测试理论和流程；
4、熟悉B/S系统、Ｃ/S系统测试流程和方法，熟悉常用测试管理工具，如Jira、QC等；
5、熟练掌握至少一种编程语言，如Java/JavaScript/Python/Shell；
6、具备产品的需求解构能力，能有效开展未上线产品的体验和评测环节；
7、主动，好学，责任心强，具备良好的对外沟通和团队协作能力；
8、在某一测试领域如性能、自动化或者大数据测试等具备很强的专业技能者优先。","","","","","","","","","","","","","","",""
"public_003","zhilian","CC625242220J40768042010","https://www.zhaopin.com/jobdetail/CC625242220J40768042010.htm","算法工程师（拼多多集团）","拼多多集团-PDD","上海 长宁区","岗位职责
1. 利用机器学习/深度学习技术/图计算技术，优化app内外搜索、推荐、广告、图像、风控、智能客服、平台治理等效果，提升数亿用户的购物体验和平台的变现效率；
2. 深入产品和业务，发现算法和机制中的不足，提出改进方案并且推动实现；
3. 跟踪业界和学术界最新进展，将理论成果应用到业务场景，提升业务效果。
任职要求
1. 2026届毕业生，硕士及以上学历，计算机相关专业，对算法有浓厚兴趣；
2. 具备强悍的编码能力，熟悉linux开发环境，熟悉TensorFlow、PyTorch、Hive优先；
3. 具备扎实的数据结构功底，熟悉机器学习、深度学习、图计算、自然语言处理、数据挖掘中一项或多项；
4. 对大语言模型、用户增长、搜索引擎、推荐系统、计算广告、图像、互联网风控、智能客服、平台治理等相关领域有经验者优先；
5. 具备较好的数理基础和逻辑分析能力，对解决具有挑战性的问题充满激情，具备较好的主动性和团队合作精神。","","","","","","","","","","","","","","",""
"public_004","zhilian","CC621497980J40827742809","https://www.zhaopin.com/jobdetail/CC621497980J40827742809.htm","运维工程师（杭州项目）","八六三软件","杭州 滨江区","岗位职责：
1、负责公司软件平台的日常运维，保障平台稳定、高效运行。
2、负责容器化平台的搭建和维护，使用Kubernetes 进行容器编排和管理。
3、负责设计、搭建、维护、优化可观测性系统，包括监控、告警、日志等，提供高效的日志收集、存储、分析和查询能力，实现对平台运行状态的全面掌控。
4、负责自动化运维工具和平台的开发，提升运维效率。
5、负责编写和维护运维文档，包括操作手册、故障处理指南等，处理平台故障，进行问题排查和解决，并总结经验教训。

任职要求：
1、统招本科及以上学历，计算机相关专业优先。
2、具备运维工作3年以上工作经验，有云平台(AWS、Azure、GcP 等)、微服务架构运维经验优先。
3、熟悉 Linux 操作系统，具备扎实的 Shell/Python 脚本编写能力。
4、熟悉 Kubernetes 容器编排技术，具备丰富的实践经验。
5、熟悉 Prometheus、Grafana 等监控工具，具备可观测性系统搭建和维护经验。
6、熟悉 ELK/EEK 等日志系统，具备日志收集、分析和查询的实战经验。
7、熟悉常用的运维工具和技术，例如 Ansible、Jenkins、Git 等。
8、具备良好的问题分析和解决能力，能够独立处理复杂问题。
9、具备良好的沟通能力和团队合作精神，责任心强。","","","","","","","","","","","","","","",""
"public_005","zhilian","CCL1513903680J40913248715","https://www.zhaopin.com/jobdetail/CCL1513903680J40913248715.htm","运维工程师","杭州煜城教育科技有限公司","深圳 南山区","岗位职责:
1、负责公司内部网络设备及计算机系统(软件和硬件设备)的安装与日常维护，保障公司电脑运行管理;
2、机房管理:负责机房网络设备，服务器，空调，消防，UPS，机房环境等监控管理;
3、负责公司IT固定资产的维护管理工作，完善IT固定资产台账等;
4、及时响应用户日常桌面问题需求，收集日常桌面运维中遇到的常见问题并进行优化解决;
5、负责网络与服务器管理与环境监控;

任职要求:
1、大学本科及以上学历，计算机相关专业优先;
2、精通Windows/macOS系统维护;熟悉基本的网络技术，能对PC端网络问题进行快速定位和解决;
3、熟悉常用服务器设备及办公设备，具备故障诊断和处理能力;
4、熟练掌握office办公软件，有良好的文档编写能力;","","","","","","","","","","","","","","",""
"public_006","zhilian","CCL1344028620J40762326112","https://www.zhaopin.com/jobdetail/CCL1344028620J40762326112.htm","数据分析师(J10072)","北京夏初科技集团有限公司","北京 朝阳区","岗位职责:
1、数据收集与整理：从公司内部业务系统、数据库以及外部数据源收集相关数据，对收集到的数据进行清洗、去重、转换等预处理工作，确保数据的准确性、完整性和一致性。
2、数据分析与挖掘：运用统计学方法、机器学习算法等对数据进行深入分析和挖掘，发现数据中的潜在规律和趋势，为业务决策提供数据依据。
3、报表与报告制作：根据业务需求，定期生成各类数据分析报表和可视化报告，如日报、周报、月报等，以直观的方式呈现数据结果和分析结论，使非技术人员也能轻松理解。
4、业务支持：与各业务部门紧密合作，深入了解业务需求和痛点，通过数据分析为业务部门提供针对性的解决方案和建议，助力业务优化和提升。
5、数据监测与预警：建立数据监测体系，实时监控关键业务指标，及时发现数据异常波动并发出预警，协助业务部门快速响应和解决问题。
6、数据模型构建：根据业务需求和数据特点，构建数据分析模型，如预测模型、用户画像模型等，为公司业务发展提供前瞻性的数据分析和预测。

任职要求:
1、统计学、数学、计算机科学、信息管理等相关专业优先。
2、获得相关数据分析认证，如 CPDA（Certified Professional Data Analyst）、CDA（Certified Data Analyst）等优先
3、有参与过大型数据分析项目经验者优先，具备良好的沟通能力，能够与不同部门、不同层级人员进行有效的沟通与协作，准确理解业务需求并传达数据分析结果。
4、具备一定的项目管理能力，能够合理安排数据分析项目的进度和资源，确保项目按时完成。
5、精通统计学、数学基础，熟练掌握数据分析方法和工具，具备较强的逻辑思维能力和问题解决能力。","","","","","","","","","","","","","","",""
"public_007","zhilian","CC413091930J40792330703","https://www.zhaopin.com/jobdetail/CC413091930J40792330703.htm","大模型算法工程师","湖南博匠信息科技有限公司","长沙 岳麓区","岗位职责
1、参与行业基础大模型的算法设计、开发、优化及落地，解决实际业务问题。
2、与业务团队紧密合作，理解需求并抽象为可建模的算法问题，输出解决方案。
3、跟踪前沿算法技术（如大模型、深度学习、强化学习等），探索其在业务中的应用场景。
4、参与大模型相关的技术开发，包括但不限于模型架构设计、模型融合、模型微调等。
任职要求
1、211/985院校或国际知名高校，数学、计算机、统计、电子信息等相关专业，本科及以上学历。
2、扎实的算法基础，熟悉机器学习（LR、GBDT等）、深度学习（CNN、RNN、Transformer等）核心算法；熟练使用Python，熟悉至少一种深度学习框架（TensorFlow/PyTorch）；具备良好的数据处理能力，熟练使用SQL/Pandas/Spark/ES等工具；熟练掌握常见算法落地流程，包括特征工程、模型评估、AB测试等。
3、1年以上算法相关经验，有实习或项目经历者优先；接触过大模型（如LLM、多模态模型）相关技术，包括底层架构、优化训练、微调或应用开发；具备使用国产算力进行研发的经验者优先。
4、逻辑清晰，具备较强的数学建模和问题拆解能力；良好的沟通能力和团队协作意识，能快速理解业务需求；对技术有热情，学习能力强，能适应快速迭代的业务环境。","","","","","","","","","","","","","","",""
"public_008","zhilian","CC161678510J40830577714","https://www.zhaopin.com/jobdetail/CC161678510J40830577714.htm","大模型算法工程师","京东方科技集团股份有限公司","北京 大兴区","岗位职责：
1. 构建基于大模型的智能数据分析引擎，提供工厂数据的智能数据分析能力；
2. 构建企业运营智能体应用，提供多模态知识问答、多模态报告生成能力；
3. 探索大模型在知识问答、图表理解、报告拆解、数据联动方面的应用；
4. 结合BOE终端产品、业务线的实际需求，开发通用AI工作流，搭建多智能体（Multi-Agent）应用框架；

任职要求：
1.工作经验2年以上，具有自然语言处理、语音交互、计算机视觉或者深度学习相关专业硕士以上学历；可熟练使用python、C++；:具有一定的抗压能力；
2.具备扎实的LLM相关理论知识，熟悉大模型的微调(Lora）、增量预训练、对齐以及部署加速等相关知识，具备实操能力；
3.熟悉DeepSeek/Qwen等主流大模型，等熟悉Pytorch，DeepSpeed、Megatron主流的深度学习训练框架，熟悉常用的大模型加速推理框架(vLLM，TensorRT-LLM)；；
4.熟悉大模型在产品化过程中的推理、调优、量化、封装、部署等常见技术问题及解决方案；
5.有基于大模型的ChatBI/Agent/RAG等落地应用项目开发经验者加分，有多模态大模型训练经验者加分。","","","","","","","","","","","","","","",""
