source,source_id,source_url,job_title_raw,company_name,location,salary,source_education,source_experience,text_education,text_experience,education_conflict,experience_conflict,publish_time,crawl_time,responsibilities,requirements,detail_raw_text,tags,category,_sha256,low_information,duplicate_review_required,review_reason
zhilian,CC404298980J40856902010,https://www.zhaopin.com/jobdetail/CC404298980J40856902010.htm,嵌入式开发工程师（央企/内网开发）,北京百米互联科技有限公司,北京 海淀区,1.3-1.5万,本科,3-5年,本科,,False,False,,2026-08-15T23:00:00+08:00,"1.linux内核驱动开发
3.新平台验证，能够独立进行新芯片、新功能的验证和开发","2.单片机开发，主要开发stm32或国产沁恒单片机开发，熟悉底层基础通信协议，拥有低功耗、USB、网络通信开发经验优先，
4、具备良好的理解和沟通能力
5、关注软硬件协同知识点，有一定自学能力、抗压能力，独立编程、方案设计能力强者优先","1.linux内核驱动开发
2.单片机开发，主要开发stm32或国产沁恒单片机开发，熟悉底层基础通信协议，拥有低功耗、USB、网络通信开发经验优先，
3.新平台验证，能够独立进行新芯片、新功能的验证和开发
4、具备良好的理解和沟通能力
5、关注软硬件协同知识点，有一定自学能力、抗压能力，独立编程、方案设计能力强者优先",32位单片机; C语言; C++; Python,嵌入式/C++,b00a47c2debc3cd0a9846978b245c69e05d75ece4d7333706415591a2762bae3,True,False,low_information
zhilian,CC120834970J41013212302,https://www.zhaopin.com/jobdetail/CC120834970J41013212302.htm,软件工程师（linux驱动开发工程师）,北京计算机技术及应用研究所,北京 海淀区,1.7-2.1万,硕士,经验不限,硕士,一年以上,False,False,,2026-08-15T23:00:00+08:00,"1、linux底层驱动开发移植；
2、linux内核定制化裁剪；
3、驱动问题定位分析及解决。","1、熟练掌握C语言；
2、熟练掌握linux内核架构和PCI、USB、IIC、SPI等设备驱动模型；
3、具有良好的英文阅读能力和独立解决问题能力；
4、具有一年以上相关工作经验；
5、熟悉ARM、MIPS等系统架构者优先；
6、熟悉汇编语言及bootloader者优先；
7、熟悉硬件知识者优先。","1、linux底层驱动开发移植；
2、linux内核定制化裁剪；
3、驱动问题定位分析及解决。
1、熟练掌握C语言；
2、熟练掌握linux内核架构和PCI、USB、IIC、SPI等设备驱动模型；
3、具有良好的英文阅读能力和独立解决问题能力；
4、具有一年以上相关工作经验；
5、熟悉ARM、MIPS等系统架构者优先；
6、熟悉汇编语言及bootloader者优先；
7、熟悉硬件知识者优先。",C语言; 嵌入式技术; Linux,嵌入式/C++,ebccf44c67bd078c9fcf91f4e58cfc457b691aee9e6c1a2f9e718e2b79637b09,True,False,low_information
zhilian,CC000544460J40837426916,https://www.zhaopin.com/jobdetail/CC000544460J40837426916.htm,中级测试工程师,软通动力信息技术(集团)股份有限公司,上海 浦东新区,,本科,3-5年,本科及以上学历,4年以上,False,False,,2026-08-15T20:00:00,"1、根据项目需求完成测试工作；
2、配合同事以及项目经理制定软件测试方案；
3、解决项目中因程序引起的故障问题；
4、与第三方制定接口方案并完成有关程序开发。","1、本科及以上学历，4年以上测试经验，有银行相关测试经历的优先；
2、精通功能测试、接口测试等；
3、学习与沟通：具备良好的学习能力，沟通顺畅；
4、具备性能调优经验。","1、根据项目需求完成测试工作；
2、配合同事以及项目经理制定软件测试方案；
3、解决项目中因程序引起的故障问题；
4、与第三方制定接口方案并完成有关程序开发。
1、本科及以上学历，4年以上测试经验，有银行相关测试经历的优先；
2、精通功能测试、接口测试等；
3、学习与沟通：具备良好的学习能力，沟通顺畅；
4、具备性能调优经验。",软件测试; Java; Shell; Postman; Jmeter; 银行测试; 柜面; 核心; 信贷,测试,ef3f95f7b67a6e2308cf725c97152f1951646f91f4cdc4d7d9b3fd70cc3b5ed9,True,False,low_information
zhilian,CC443657520J40880232609,https://www.zhaopin.com/jobdetail/CC443657520J40880232609.htm,功能测试,中电金信软件有限公司,上海 浦东新区,,本科,3-5年,本科及以上学历,4年,False,False,,2026-08-15T20:00:00,"1、熟悉软件测试流程和规范；
2、熟练掌握各类软件测试方法并能灵活应用，熟练掌握缺陷管理工具；
3、有创新优化意识和责任心，能和项目成员进行快速有效的沟通；
4、熟悉金融测试经验。","1、本科及以上学历；
2、4年工作经历；
3、良好的职业素养和团队协作精神，性格开朗随和，以及较强的学习，研究探索能力。","1、熟悉软件测试流程和规范；
2、熟练掌握各类软件测试方法并能灵活应用，熟练掌握缺陷管理工具；
3、有创新优化意识和责任心，能和项目成员进行快速有效的沟通；
4、熟悉金融测试经验。
1、本科及以上学历；
2、4年工作经历；
3、良好的职业素养和团队协作精神，性格开朗随和，以及较强的学习，研究探索能力。",软件测试; 金融测试,测试,cdfeace5fdbef8dbe10444e4f829d2de194b4a704593e042e506ed51ad0b737c,True,False,low_information
zhilian,CC000544460J40791295516,https://www.zhaopin.com/jobdetail/CC000544460J40791295516.htm,测试（浦发银行项目）,软通动力信息技术(集团)股份有限公司,上海 浦东新区,8000-12000元,本科,1-3年,本科及以上学历,1-3年,False,False,,2026-08-15T20:00:00,"1、负责银行核心系统、金融市场群系统测试；
2、负责贵金属、债券、外汇测试；
3、负责公司网银、手机银行、企业信贷及对公柜面等前端系统的端到端测试。","1、有银行核心系统、金融市场群系统测试经验；
2、有贵金属、债券、外汇测试经验；
3、有公司网银、手机银行、企业信贷及对公柜面等前端系统的端到端测试经验。","1、负责银行核心系统、金融市场群系统测试；
2、负责贵金属、债券、外汇测试；
3、负责公司网银、手机银行、企业信贷及对公柜面等前端系统的端到端测试。
1、有银行核心系统、金融市场群系统测试经验；
2、有贵金属、债券、外汇测试经验；
3、有公司网银、手机银行、企业信贷及对公柜面等前端系统的端到端测试经验。",软件测试; 银行测试; 柜面; 金融测试,测试,29225a854eeb3f77a22b5111003c9be7bd32494c83fe85f3f9d7c5c60771de22,True,False,low_information
zhilian,CCL1430506130J40602415410,https://www.zhaopin.com/jobdetail/CCL1430506130J40602415410.htm,黑盒测试,上海玄晖信息科技有限公司,上海 闵行区,,本科,1-3年,本科及以上,1-3年,False,False,,2026-08-15T20:00:00,"1、负责软件产品的黑盒测试工作；
2、独立编写测试用例，执行测试并记录测试结果；
3、跟踪Bug管理，验证修复结果。","1、本科及以上；
2、英语良好，CET-4及以上优先；
3、测试相关工作1-3年，熟悉测试流程，能独立编写测试用例；
4、自学探索能力强，责任感强，表达能力强；
5、理工科专业。","1、负责软件产品的黑盒测试工作；
2、独立编写测试用例，执行测试并记录测试结果；
3、跟踪Bug管理，验证修复结果。
1、本科及以上；
2、英语良好，CET-4及以上优先；
3、测试相关工作1-3年，熟悉测试流程，能独立编写测试用例；
4、自学探索能力强，责任感强，表达能力强；
5、理工科专业。",软件测试; 黑盒测试,测试,e6ecd2da994a6765a8d1accf447eb4907e114a15988ce4a374ca2b08512eac51,True,False,low_information
zhilian,CC000137427J00256758010,https://www.zhaopin.com/jobdetail/CC000137427J00256758010.htm,软件测试工程师,北京久其软件股份有限公司,北京 海淀区,,本科,经验不限,统招本科及以上学历,1-3年,False,True,,2026-08-15T20:00:00,"1、根据项目需求及设计文档编写测试方案、测试要点和测试用例；
2、有效地执行测试用例，提交产品BUG，提交测试报告；
3、与开发人员及项目经理清晰沟通bug问题，并提出修改建议；
4、严格控制测试进度，把握项目质量；
5、与软件开发人员、产品设计人员、进行有效沟通，协助开发工作；
6、建立、维护测试工作的相关文档。","1、计算机类相关专业，统招本科及以上学历（学信网可查）；
2、1-3年软件测试工作或相关项目经验；优秀应届毕业生也可考虑；
3、熟练使用数据库（oracle/mysql/sqlserver）能编写复杂的sql脚本、操作系统（linux/windows）、应用中间件(weblogic/websphere/tomcat）；
4、具备良好的沟通和团队协作能力，吃苦耐劳、学习能力强；能积极主动推进工作进度，并解决问题。","1、根据项目需求及设计文档编写测试方案、测试要点和测试用例；
2、有效地执行测试用例，提交产品BUG，提交测试报告；
3、与开发人员及项目经理清晰沟通bug问题，并提出修改建议；
4、严格控制测试进度，把握项目质量；
5、与软件开发人员、产品设计人员、进行有效沟通，协助开发工作；
6、建立、维护测试工作的相关文档。
1、计算机类相关专业，统招本科及以上学历（学信网可查）；
2、1-3年软件测试工作或相关项目经验；优秀应届毕业生也可考虑；
3、熟练使用数据库（oracle/mysql/sqlserver）能编写复杂的sql脚本、操作系统（linux/windows）、应用中间件(weblogic/websphere/tomcat）；
4、具备良好的沟通和团队协作能力，吃苦耐劳、学习能力强；能积极主动推进工作进度，并解决问题。",功能测试; 软件测试; Oracle; MySQL; SQL Server; Linux,测试,41dfd4b0acc021fe69d0fb0e8604ab2cfcb0d38043f6f5e55a8ee20a81079a2c,False,False,experience_conflict
zhilian,CC000544460J40772187516,https://www.zhaopin.com/jobdetail/CC000544460J40772187516.htm,黑盒测试,软通动力信息技术(集团)股份有限公司,无锡 滨湖区,,大专,经验不限,大专及以上,,False,False,,2026-08-15T20:00:00,"1、参照测试用例（日文书写）check对象机器功能实装的完整性和正确性，必要的时候需要参考规格书（日文英文两版）；
2、测试过程中发现与用例不符合或者与规格书不符合的地方经与Leader沟通后自行起票报告（英文书写）。","1、必须项：日语N2及以上，英语CET-4，英日语读写熟练；
2、加分项：黑盒测试实施经验，熟悉各种测试手法和bug管理验证方法者优先。","1、参照测试用例（日文书写）check对象机器功能实装的完整性和正确性，必要的时候需要参考规格书（日文英文两版）；
2、测试过程中发现与用例不符合或者与规格书不符合的地方经与Leader沟通后自行起票报告（英文书写）。
1、必须项：日语N2及以上，英语CET-4，英日语读写熟练；
2、加分项：黑盒测试实施经验，熟悉各种测试手法和bug管理验证方法者优先。",硬件测试; 性能测试; 黑盒测试; 日语; 英语,测试,a017cbe5f189941df2f62eed9fcc8741298a54314d95c6c035ade79a07cb5ce7,True,False,low_information
zhilian,CC192921310J40587990709,https://www.zhaopin.com/jobdetail/CC192921310J40587990709.htm,Java后端开发工程师,京东集团,北京 通州区,2.5-5万·16薪,本科,经验不限,,3年及以上工作经验,False,True,,2026-08-17T11:28:33+08:00,负责供应链公共技术平台的设计与开发，确保系统的质量，持续进行系统性能评估与优化；编写技术文档，包括设计文档、接口文档和用户手册；与产品经理、测试工程师、运维人员等跨部门紧密合作；了解前沿技术和业界架构演进。,"1、统招211及以上学历，计算机相关专业，3年及以上工作经验；
2、熟悉Java/Python主流编程语言，理解Java核心概念如多线程、集合、IO、JVM原理等；
3、熟悉MySQL应用开发，熟悉数据库原理和常用性能优化技术；
4、了解分布式系统、微服务架构、消息队列（如RabbitMQ、Kafka）、缓存（Redis、Memcached）等技术；
5、优秀的业务理解能力、分析解决问题和沟通能力。","负责供应链公共技术平台的设计与开发，确保系统的质量，持续进行系统性能评估与优化；编写技术文档，包括设计文档、接口文档和用户手册；与产品经理、测试工程师、运维人员等跨部门紧密合作；了解前沿技术和业界架构演进。
1、统招211及以上学历，计算机相关专业，3年及以上工作经验；
2、熟悉Java/Python主流编程语言，理解Java核心概念如多线程、集合、IO、JVM原理等；
3、熟悉MySQL应用开发，熟悉数据库原理和常用性能优化技术；
4、了解分布式系统、微服务架构、消息队列（如RabbitMQ、Kafka）、缓存（Redis、Memcached）等技术；
5、优秀的业务理解能力、分析解决问题和沟通能力。",Java; Python; MySQL; 分布式系统; 微服务架构; RabbitMQ; Kafka; Redis; JVM; 多线程,后端开发,3dfd02d39edae80778355a3022e1323b6ea5578d4c396216e625bcb424aa2f96,False,False,experience_conflict
zhilian,CC409287530J40762535307,https://www.zhaopin.com/jobdetail/CC409287530J40762535307.htm,python开发工程师（线上面试）,深圳极联信息技术股份有限公司,北京 海淀区,面议,大专,3-5年,大专及以上学历,,False,False,,2026-08-17T11:28:33+08:00,"1、负责公司业务系统核心模块开发；
2、负责对团队成员提供技术支持。","1、自考大专及以上学历，计算机等相关专业；
2、三年以上Python编程相关经验；
3、对Django、flask、tornado等其中一个或多个web开发框架有深入了解；
4、具有MySQL数据库设计与优化能力，熟悉mongoDB、mc、redis等一种以上；
5、对硬件有一定了解；
6、具备多层架构软件设计经验的优先录用。","1、负责公司业务系统核心模块开发；
2、负责对团队成员提供技术支持。
1、自考大专及以上学历，计算机等相关专业；
2、三年以上Python编程相关经验；
3、对Django、flask、tornado等其中一个或多个web开发框架有深入了解；
4、具有MySQL数据库设计与优化能力，熟悉mongoDB、mc、redis等一种以上；
5、对硬件有一定了解；
6、具备多层架构软件设计经验的优先录用。",Python; Django; Flask; Tornado; MySQL; MongoDB; Redis,后端开发,476ee5d182e0e7273e4a48086778b848bf4643e6ea73e5c213710e7f331c64ac,True,False,low_information
