﻿source,source_id,source_url,job_title_raw,company_name,location,salary,source_experience,source_education,text_experience,text_education,experience_conflict,education_conflict,publish_time,crawl_time,responsibilities,requirements,tags
zhilian,CCL1480117890J40845576605,https://www.zhaopin.com/jobdetail/CCL1480117890J40845576605.htm,全栈工程师（java，go，python，js，re）,外企德科数字技术有限公司,北京 朝阳区,2-3.5万·18薪,经验不限,本科,2年以上相关工作经验,统招本科学历,true,false,,2026-08-15T16:45:51.156+08:00,"岗位职责：
负责公司内部各系统开发，负责公司信息系统建设；
通过构建领先的信息系统，助力公司业务和组织的长期高效经营与发展；
在安全、隐私、合规层面持续治理，为公司的稳健发展保驾护航；覆盖人事、财务、法务、采购、审批、职场等多个领域的系统开发","任职要求：
1、统招本科学历以上，2年以上相关工作经验，计算机相关专业优先；985/211学历优先；
2、具备良好的计算机、软件工程等专业领域基础知识；
3、至少精通Java、python、golang中的一种；
4、有完整的项目开发经验，具备大型项目经验，erp经验等优先；
5、工作思路清晰，有较好的沟通能力和技术学习能力，拥有良好的编码习惯，有很强的自学能力和自我提高的愿望；",前端开发; 后端开发; JavaScript; react; Java; GoLang; Python; 计算机软件; 产业互联网平台
zhilian,CC138117190J40879068905,https://www.zhaopin.com/jobdetail/CC138117190J40879068905.htm,大模型评测工程师（音视频/AIGC/多模态）,外企德科,北京 海淀区,,经验不限,大专,,本科及以上学历,false,true,,2026-08-15T16:45:51.156+08:00,"职位描述
负责音视频生成大模型及相关方向算法、视频可控类编辑/参考的项目交付质量，包括设计准备完善数据集、标注质量质检、质量验收以及量化的分析评测报告输出；
1. 对音视频质量评估：对生成的音视频进行主观质量评估。包括视频能力（画质、美学、合理性、叙事、清晰度）、音频（自然度、音质、与视频内容的匹配度等），给出专业的主观评价意见；
2. 评测方案设计与执行：从专业的角度，参与制定并执行评测方案，及测试集的设计。负责对标注团队进行培训，把控标注质量和评测结论的准确性。
3. 评测数据整理与分析：对评测过程中产生的数据进行整理和分析，及时发现音频生成中存在的问题，形成评测报告，为项目团队提供有价值的专业参考信息和针对性的改进建议，协助优化模型效果。
4. 跟进行业主流竞品多模态生成/理解模型及行业能力变化，有敏锐的用户视角参与竞品调研、线上效果分析、算法效果分析、问题挖掘归因和行业评测探索，为模型迭代和项目决策提供参考。","任职要求
1、本科及以上学历，数字媒体艺术、美术、设计、动画、影视编导、导演、摄影、技术美术；或技术方向计算机、人工智能、数据分析等相关专业优先
2、具备较好的审美判断力和视听语言理解能力，对音视频内容质量有较强判断力，熟悉视频画质、美学构图、镜头语言、叙事逻辑、运动合理性、音质、音色、节奏、音画匹配等评价维度。
3、对 AIGC 创作有实际经验，熟悉从创意构思、Prompt 设计、素材准备、模型生成、结果筛选、后期调整到成片交付的完整流程；有影视拍片项目经历、影视行业制作经验或全流程 AIGC 创作经验者优先。
4、深度使用过业界主流文生图、文生视频、多模态大模型或音频生成工具者优先，如即梦、Seedance、海螺、Nano Banana 等；有竞品评测经验，能够清晰分析不同模型的效果水位、优势短板和适用场景者优先。
5、有 AI 算法测试、数据标注、评测体系建设或标注 POC 经验者优先；对大模型、AIGC、多模态生成、视频生成等方向有较深入理解者优先。
6、具备较强的主观判断能力和结构化分析能力，能够将主观视听感受拆解并量化为客观评价标准，逻辑清晰、思维敏捷，善于分析总结，并能清楚表达自己的观点、判断依据和问题归因。
7、具备良好的数据敏感度、文档能力和跨团队沟通能力，能够输出评测方案、标注规范、质检报告、评测报告等材料，并与算法、产品、运营、标注团队高效协同。
8、具备优秀的快速学习能力、抗压能力和项目推进意识，能够适应多轮模型迭代、批量样本评测、紧急交付和复杂问题排查。
10、有代码编写经验优先，熟悉 Python、SQL、数据处理、自动化评测脚本、可视化分析，或具备基于 AI 工具提升数据处理和评测效率的能力者优先。",音频标注; 视频标注; 大模型评测; AIGC; 多模态模型; 音视频模型
zhilian,CCL1516918430J40789275606,https://www.zhaopin.com/jobdetail/CCL1516918430J40789275606.htm,急招运维+java,陕西鑫泽源慧企业管理有限公司,北京 朝阳区,,经验不限,大专,,大专及以上学历,false,false,,2026-08-15T16:45:51.156+08:00,"工作职责：
1. 负责Java业务系统的日常运维保障，包括监控、故障排查与性能优化，确保系统高可用性。
2. 参与Java应用的部署、升级与配置管理，推动自动化运维工具的开发与落地。
3. 协同开发团队解决系统上线后的技术问题，输出标准化运维文档与操作规范。","任职要求：
1. 大专及以上学历，计算机相关专业，具备扎实的Java编程基础。
2. 熟悉Linux系统操作与常用运维工具（如Shell、Ansible），了解Docker、Kubernetes等容器化技术优先。
3. 具备问题分析与解决能力，能独立处理系统故障并提出优化方案。",服务器运维; 系统运维; IDC/机房运维; 软件/IT服务; 信息安全; 产业互联网平台
zhilian,CC303218880J40962177002,https://www.zhaopin.com/jobdetail/CC303218880J40962177002.htm,水声算法工程师,博雅工道,北京 通州区,,经验不限,硕士,,硕士及以上学历,false,false,,2026-08-15T16:45:51.156+08:00,"岗位职责
1. 负责水声信号、声学特性相关数据采集、处理与分析，完成声学测试、信号降噪、频谱分析、声学性能评估等工作，输出专业分析报告。
2. 开展水声传感器件级研发、调试与测试工作，涵盖水声换能器、水听器等水声器件的选型、装配、性能标定与问题排查。
3. 参与水声材料工艺研发与落地，负责声学材料选型、试样制备、工艺优化、声学性能测试，推进材料在水声设备中的应用。
4. 完成水声器件、声学模块的装配、焊接、封装等实操工作，具备较强动手实操能力，保障器件加工与装配质量。
5. 搭建水声测试环境、调试测试设备，开展水下声学实验、器件性能验证测试，记录测试数据并优化测试方案。
6. 配合研发团队完成水声系统、水下设备的声学相关调试、故障定位与技术改进，解决研发与测试中的实操性技术问题。
7. 整理声学实验数据、测试报告、工艺文档，规范器件研发与测试流程，做好技术资料归档。","任职要求
1. 硕士及以上学历，水声工程、声学、电子信息工程、材料科学与工程、船舶与海洋工程等相关专业。
2. 掌握水声工程、声学基础理论知识，熟悉水声信号处理、声学测试分析、水声传感器件工作原理。
3. 熟悉声学材料性能、加工工艺及器件级装配工艺，具备材料工艺实操或水声器件调试经验。
4. 具备极强的动手能力，能独立完成水声器件装配、测试设备操作、实验试样加工、电路简单调试等实操工作。
5. 掌握声学测试仪器（水听器、信号分析仪、示波器等）使用方法，具备声学数据处理与分析能力。
6. 了解水声器件研发、测试流程，有传感器件研发、水下声学测试、声学材料工艺相关经验者优先。
7. 工作严谨细致，责任心强，具备良好的问题解决能力、团队协作能力与实验安全意识。",海洋水声工程; 海洋测绘工程; 海工结构设计; 海洋水动力工程; 船舶/航空/航天/军工; 人工智能
zhilian,CC258760917J90250298000,https://www.zhaopin.com/jobdetail/CC258760917J90250298000.htm,文员（数据分析）,上海保安,上海 普陀区,,经验不限,大专,,大专以上,false,false,,2026-08-15T16:45:51.156+08:00,"岗位职责：
1、负责非现场数据信息数据判读
2、负责非现场数据信息数据统计与录入
3、负责设备故障判断并上报
4、完成领导交办的其他工作","任职要求：
1.
2.学历大专以上
3.工作认真细心，有耐心",电脑操作
zhilian,CCL1480117890J40603130605,https://www.zhaopin.com/jobdetail/CCL1480117890J40603130605.htm,Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,上海 浦东新区,1.5-3万·14薪,经验不限,本科,,,false,false,,2026-08-15T16:45:51.156+08:00,"Java/C/C++/Python/嵌入式/驱动开发/前端/测试/算法/数据开发等 均有岗位！
不卡地域，不卡部门，面试成绩通用~
地域：北京/上海/深圳/杭州/成都/西安/东莞/南京/武汉等地域，根据个人意愿选择；
亮点：年轻团队，核心业务，根据技术能力定级定薪无固定上限，入职即交五险一金，享有年终14-16薪，项目奖金等，享受带薪年假病假等福利，长期稳定晋升发展~","能力要求：
1.熟悉Java/Go/PythonC/C++至少一种语言；
2.掌握常见的数据结构．算法；
3.熟悉常用设计模式、数据框架；
4.具有良好学习能力；",Python; C++; C; Java; 通信/物联网/自动化; 嵌入式; 人工智能; 云计算/大数据; 计算机软件
zhilian,CC135794170J41002479902,https://www.zhaopin.com/jobdetail/CC135794170J41002479902.htm,英语高级Python 全栈工程师（AI 原生/RAG）,大连弗斯特高新人才发展管理有限公司,上海 浦东新区,,10年以上,大专,,,false,false,,2026-08-15T16:45:51.156+08:00,"一、岗位职责
1、基于 Python 全栈技术独立完成AI 原生产品功能设计、前后端落地开发，参与产品需求评审、架构方案设计；
2、负责RAG 检索增强生成架构从 0 到 1 落地搭建、知识库工程化、向量库选型部署、大模型应用对接与迭代优化；
3、熟练运用 Copilot、Claude Code 等 AI 开发工具提升编码效率，落地 AI 赋能业务的功能模块；
4、对接海外研发团队，使用英文进行需求沟通、技术文档编写、项目同步推进；
5、参与项目全生命周期管理，有架构 / 项目管理经验者可主导技术方案、项目排期与落地管控。","二、任职要求
硬性技能
1、扎实 Python 全栈开发功底，熟练后端框架（FastAPI/Django/Flask 任选）+ 前端基础（Vue/React 优先），具备完整项目落地经验；
2、必备 RAG 落地实战经验：做过向量数据库（Milvus/Chroma/Pinecone 等）、文档解析、切片、召回、Prompt 工程全链路开发，有 AI 原生产品落地案例；
3、熟练使用 GitHub Copilot、Claude Code 等 AI 编码辅助工具进行日常开发；
4、英语口语 & 读写流利，可无障碍和海外团队沟通、撰写英文技术文档。",Python; 英语流利; AGENT
zhilian,CC557155320J40898912903,https://www.zhaopin.com/jobdetail/CC557155320J40898912903.htm,智能开发工程师AI(wai包)熟悉Java python go typescript,郑州海奥软件科技有限公司,北京 朝阳区,1.3-1.6万,5-10年,本科,,本科及以上学历,false,false,,2026-08-15T16:45:51.156+08:00,"以 AI 编程和 Agentic AI 开发能力为核心，在架构师指导下承担模块级研发交付，主动完成需求理解、任务拆解、代码实现、测试验证、联调上线与问题闭环。
1. 参与需求沟通和方案拆解，主动澄清目标、边界、风险与验收标准
2. 使用 AI 编程工具完成代码生成、重构、调试、测试和文档编写
3. 负责前端、后端、接口、数据库、脚本等模块开发，保证代码可读、可测、可维护
4. 参与 Agentic AI 应用开发，完成 Prompt、RAG、工具调用、MCP / API 接入和结果校验
5. 主动定位开发、联调、测试、上线中的 Bug、性能、接口、数据和 AI 代码质量问题
6. 按规范提交代码、补充测试，参与代码评审、缺陷修复和交付验收
7. 沉淀 Prompt、模板、脚本、组件和经验文档，提升个人与团队研发效率","任职资格：
1. 计算机相关专业本科及以上学历，有 AI 应用或 Agent 开发经验优先。
2. 熟悉 Java/Python/Go/TypeScript/JavaScript 等至少 1 门语言，具备模块级开发、调试和测试能力。
3. 熟悉 Web 应用开发，了解前后端分离、API、数据库、缓存、消息队列、日志、CI/CD 等工程实践。
4. 熟练使用 AI 编程工具，能借助 AI 提升开发、测试和文档效率。
5. 了解 Agentic AI 的任务规划、工具调用、上下文管理、RAG、MCP / API 接入和执行反馈。
6. 具备主动工作、主动沟通和主动承担意识，能及时同步进度、暴露风险、推动问题闭环。
7. 有低代码、知识库问答、自动化办公、研发效能工具、代码迁移或自动化测试经验者优先。",Java; JavaScript; Python; AGENTIC AI
zhilian,CC385403120J40838093411,https://www.zhaopin.com/jobdetail/CC385403120J40838093411.htm,python大数据讲师,北京欣欣科技有限公司,北京 海淀区,1.5-2万,3-5年,本科,,本科及以上学历,false,false,,2026-08-15T16:45:51.156+08:00,"我们正在寻找一位资深的IT讲师，负责为员工提供技术服务。
工作内容：
1. 根据需求定制IT课程；
2. 开发和更新材料；
3. 组织和执行实训课程；
4. 评估学习进度和成果；
5. 提供课程咨询和支持。","岗位要求：
1. 本科及以上学历，计算机或相关专业；
2. 熟练使用mysql、sql、python、linux等软件
3. 至少3年的IT经验；
4. 优秀的沟通和教学能力；
5. 对IT技术有深入的了解；
6. 责任心强，有团队精神。",大数据分析; 大数据开发; 数仓开发; 数据可视化; ETL开发; 报表开发; Hadoop; Oracle; MySQL; Python; Shell
zhilian,CCL1467242830J40855145310,https://www.zhaopin.com/jobdetail/CCL1467242830J40855145310.htm,Python工程师,航天天目(重庆)卫星科技有限公司,北京 丰台区,1.5-2.3万,经验不限,本科,3年以上,统招本科及以上学历,true,false,,2026-08-15T16:45:51.156+08:00,"【岗位职责】
1.负责卫星数据反演调度系统的维护、迭代与性能优化。
2.参与数值天气预报流程开发与优化，实现预报数据自动化处理、格式转换、后处理及可视化解析。
3.负责气象预报模型与 AI 算法的工程化部署、服务集成及日常运维，保障系统稳定高效运行。
4.配合算法及科研团队完成算法落地，将专业模型转化为工程化代码并开展接口开发与联调。
5.负责代码版本管理、技术文档编写、功能测试及程序性能优化。","【任职要求】
1.统招本科及以上学历，计算机、通信、电子信息、自动化、软件工程、航空航天、遥感、测绘、气象、地理信息等相关专业。
2.拥有 3年以上Python 及 web 开发经验，熟练使用 NumPy、Pandas、Xarray 等科学计算与数据处理库。
3.熟悉 Linux 开发环境及 Git 版本管理，掌握 Docker 容器化、任务调度与 AI 模型工程化部署。
4.熟悉MySQL/PostgreSQL等常见数据库，具备基本SQL能力。
5.具备较强的学习能力和良好的团队协作意识，工作责任心强、作风严谨踏实。
6.了解 NetCDF、GRIB、HDF5 等常用数据格式，有相关领域开发经验者优先。
7.工作地点：北京。",MySQL; PostgreSQL
